Date,Time,Baseline
8/9/2021,1:00,51894.77
8/9/2021,2:00,49043.26
8/9/2021,3:00,47299.1
8/9/2021,4:00,46773
8/9/2021,5:00,46278.51
8/9/2021,6:00,47248.73
8/9/2021,7:00,48685.06
8/9/2021,8:00,49394.91
8/9/2021,9:00,51988.99
8/9/2021,10:00,55295.66
8/9/2021,11:00,59809.88
8/9/2021,12:00,63177.8
8/9/2021,13:00,66543.37
8/9/2021,14:00,69623.79
8/9/2021,15:00,71517.64
8/9/2021,16:00,72458.14
8/9/2021,17:00,72621.6
8/9/2021,18:00,72259.91
8/9/2021,19:00,70706.68
8/9/2021,20:00,68298.39
8/9/2021,21:00,65839.58
8/9/2021,22:00,63346.04
8/9/2021,23:00,59584.4
8/9/2021,24:00:00,55495.29
8/10/2021,1:00,52289.32
8/10/2021,2:00,49795.79
8/10/2021,3:00,47804.71
8/10/2021,4:00,46698.01
8/10/2021,5:00,46162.64
8/10/2021,6:00,46896.31
8/10/2021,7:00,48306.72
8/10/2021,8:00,49151.45
8/10/2021,9:00,51487.59
8/10/2021,10:00,54963.76
8/10/2021,11:00,58881.8
8/10/2021,12:00,62375.49
8/10/2021,13:00,65844.05
8/10/2021,14:00,68678.95
8/10/2021,15:00,70831.07
8/10/2021,16:00,72093.71
8/10/2021,17:00,72365.92
8/10/2021,18:00,71968.96
8/10/2021,19:00,70568.49
8/10/2021,20:00,68040.62
8/10/2021,21:00,65532.13
8/10/2021,22:00,63173.16
8/10/2021,23:00,59247.59
8/10/2021,24:00:00,55352.86
8/11/2021,1:00,52027.18
8/11/2021,2:00,49338.34
8/11/2021,3:00,47249.5
8/11/2021,4:00,46048.86
8/11/2021,5:00,45473.05
8/11/2021,6:00,46179.19
8/11/2021,7:00,47597.13
8/11/2021,8:00,48380.3
8/11/2021,9:00,50805.84
8/11/2021,10:00,54115.5
8/11/2021,11:00,57951.45
8/11/2021,12:00,61673.63
8/11/2021,13:00,65358.4
8/11/2021,14:00,68208.15
8/11/2021,15:00,70480.73
8/11/2021,16:00,71652.93
8/11/2021,17:00,72107.77
8/11/2021,18:00,71656.51
8/11/2021,19:00,70278.65
8/11/2021,20:00,67802.59
8/11/2021,21:00,65348.15
8/11/2021,22:00,62950.68
8/11/2021,23:00,58844.52
8/11/2021,24:00:00,54752.52
8/12/2021,1:00,51485.8
8/12/2021,2:00,48850.51
8/12/2021,3:00,46862.24
8/12/2021,4:00,45613.14
8/12/2021,5:00,45155.2
8/12/2021,6:00,45942.22
8/12/2021,7:00,47471.44
8/12/2021,8:00,48235.14
8/12/2021,9:00,50501.96
8/12/2021,10:00,53847.87
8/12/2021,11:00,57905.24
8/12/2021,12:00,61661.75
8/12/2021,13:00,65330.39
8/12/2021,14:00,68055.92
8/12/2021,15:00,70213.23
8/12/2021,16:00,71218.9
8/12/2021,17:00,71595.8
8/12/2021,18:00,70990.26
8/12/2021,19:00,69352.46
8/12/2021,20:00,66937.85
8/12/2021,21:00,64801.24
8/12/2021,22:00,62444.4
8/12/2021,23:00,58417.61
8/12/2021,24:00:00,54356.96
8/13/2021,1:00,51094.51
8/13/2021,2:00,48368.86
8/13/2021,3:00,46436.36
8/13/2021,4:00,45200.5
8/13/2021,5:00,44640.71
8/13/2021,6:00,45263.67
8/13/2021,7:00,46660.99
8/13/2021,8:00,47554.1
8/13/2021,9:00,49841.01
8/13/2021,10:00,53274.64
8/13/2021,11:00,57626.42
8/13/2021,12:00,61475.68
8/13/2021,13:00,64811.24
8/13/2021,14:00,67696.99
8/13/2021,15:00,69689.78
8/13/2021,16:00,70501.04
8/13/2021,17:00,70651.37
8/13/2021,18:00,69913.95
8/13/2021,19:00,68040.91
8/13/2021,20:00,64853.12
8/13/2021,21:00,62791.02
8/13/2021,22:00,60628.31
8/13/2021,23:00,57099.21
8/13/2021,24:00:00,53608.25
8/14/2021,1:00,50108.34
8/14/2021,2:00,47425.05
8/14/2021,3:00,45435.63
8/14/2021,4:00,44035.9
8/14/2021,5:00,43299.64
8/14/2021,6:00,42774.91
8/14/2021,7:00,42869.56
8/14/2021,8:00,43597.65
8/14/2021,9:00,45980.17
8/14/2021,10:00,50263.4
8/14/2021,11:00,54729.81
8/14/2021,12:00,58879.11
8/14/2021,13:00,62376.54
8/14/2021,14:00,65163.69
8/14/2021,15:00,67037.86
8/14/2021,16:00,68046.24
8/14/2021,17:00,68329.75
8/14/2021,18:00,67335.86
8/14/2021,19:00,65588.94
8/14/2021,20:00,62737.34
8/14/2021,21:00,60617.66
8/14/2021,22:00,58370.31
8/14/2021,23:00,55204.06
8/14/2021,24:00:00,51510.39
8/15/2021,1:00,48004.44
8/15/2021,2:00,45894.44
8/15/2021,3:00,44005.68
8/15/2021,4:00,42514.25
8/15/2021,5:00,41390.2
8/15/2021,6:00,40857.82
8/15/2021,7:00,40679.09
8/15/2021,8:00,41066.83
8/15/2021,9:00,43494.83
8/15/2021,10:00,47030.75
8/15/2021,11:00,51005.17
8/15/2021,12:00,54847.03
8/15/2021,13:00,58117.83
8/15/2021,14:00,60067.88
8/15/2021,15:00,62362.68
8/15/2021,16:00,63434.45
8/15/2021,17:00,63678.06
8/15/2021,18:00,64304.59
8/15/2021,19:00,62542.39
8/15/2021,20:00,59921.28
8/15/2021,21:00,58924.99
8/15/2021,22:00,57045.67
8/15/2021,23:00,53505.85
8/15/2021,24:00:00,49847.74
8/16/2021,1:00,46537.11
8/16/2021,2:00,44178.44
8/16/2021,3:00,42701.52
8/16/2021,4:00,41693.24
8/16/2021,5:00,41519.46
8/16/2021,6:00,42233.7
8/16/2021,7:00,43974.84
8/16/2021,8:00,45043.85
8/16/2021,9:00,47058.23
8/16/2021,10:00,50217.82
8/16/2021,11:00,54032.19
8/16/2021,12:00,57630.72
8/16/2021,13:00,60433.52
8/16/2021,14:00,63289.25
8/16/2021,15:00,65363.98
8/16/2021,16:00,66559.16
8/16/2021,17:00,66803.32
8/16/2021,18:00,66046.19
